Year,Gender,Age,1.Body Weight (kg),2.Stature height (cm),3.Eye height (cm),4.Shoulder height (cm),5.Elbow height (cm),"6.The height of the fingertip, standing (cm)","7.Arm's reach, standing (cm)",8.Shoulder (bideltoid) breadth (cm),"9.Chest depth, standing (cm)","10.Arm's reach, standing (cm)","11.Arms spread, standing (cm)",12.Sitting height (cm),"13.Eye height, sitting (cm)","14.Elbow height, sitting (cm)",15.Shoulder-elbow length (cm),"16.Knee height, sitting (cm)","17.Arm's reach, sitting (cm)",18.Forearm-fingertip length  (cm),19.Buttock-knee length (cm),"20.Leg length forward, sitting (cm)","21.Arm's reach, sitting (cm)",22.Hand breadth including thumb (cm),23.Palm length (cm),24.Foot  breadth (cm),25.Foot lenght (cm),
2003.00,M,18.00,65.00,173.50,168.00,144.00,105.00,67.00,220.00,46.00,31.00,84.00,173.00,94.00,85.00,23.00,38.00,54.00,134.00,48.00,60.00,102.00,88.00,11.00,19.00,10.00,25.00,
2003.00,M,18.00,73.00,170.00,168.00,152.00,118.00,71.00,224.00,55.00,41.00,76.00,176.00,97.00,74.00,30.00,37.00,55.00,138.00,50.00,54.00,106.00,74.00,8.00,19.00,11.00,22.00,
2003.00,M,18.00,82.00,192.00,179.00,167.00,122.00,77.00,243.00,47.00,36.00,94.00,193.00,99.00,86.00,28.00,40.00,64.00,150.00,52.00,62.00,115.00,91.00,10.00,20.00,13.00,31.00,
2003.00,M,18.00,67.00,181.00,172.00,152.00,120.00,65.00,231.00,46.00,32.00,92.00,183.00,96.00,87.00,23.00,38.00,49.00,142.00,48.00,61.00,109.00,82.00,10.00,21.00,9.50,28.00,
2003.00,M,19.00,93.00,189.00,176.00,165.00,124.00,70.00,242.00,49.00,42.00,100.00,195.00,94.00,83.00,31.00,40.00,63.00,144.00,50.00,63.00,121.00,94.00,11.00,19.00,10.00,28.00,
2003.00,M,19.00,101.00,184.00,172.00,158.00,116.00,67.00,233.00,46.00,36.00,92.00,193.00,95.00,84.00,20.00,39.00,61.00,149.00,50.00,65.00,120.00,96.00,12.00,20.00,12.00,36.00,
2003.00,M,19.00,72.00,173.00,164.00,148.00,109.00,68.00,222.00,50.00,41.00,90.00,180.00,89.00,82.00,25.00,40.00,56.00,131.00,48.00,60.00,109.00,84.00,12.00,20.00,12.00,24.00,
2003.00,M,19.00,94.00,175.00,165.00,150.00,110.00,65.00,216.00,46.00,35.00,86.00,177.00,99.00,82.00,29.00,35.00,55.00,139.00,45.00,57.00,101.00,89.00,11.00,20.00,10.00,25.00,
2003.00,M,20.00,94.00,184.00,174.00,150.00,120.00,74.00,231.00,60.00,34.00,86.00,185.00,96.00,86.00,27.00,35.00,60.00,140.00,49.00,63.00,110.00,95.00,11.00,22.00,10.00,28.00,
2003.00,M,20.00,68.00,185.00,180.00,156.00,118.00,71.00,242.00,52.00,36.00,80.00,192.00,99.00,85.00,25.00,38.00,61.00,143.00,48.00,57.00,107.00,79.00,12.00,21.00,10.00,26.00,
2003.00,M,20.00,73.00,185.00,176.00,155.00,115.00,66.00,233.00,48.00,34.00,89.00,180.00,91.00,81.00,30.00,36.00,60.00,144.00,48.00,59.00,128.00,88.00,10.00,22.00,10.00,26.00,
2003.00,M,20.00,78.00,183.00,172.00,147.00,118.00,74.00,227.00,56.00,41.00,84.00,176.00,96.00,83.00,25.00,41.00,60.00,140.00,49.00,63.00,110.00,95.00,15.00,20.00,14.00,28.00,
2003.00,M,20.00,78.00,186.00,175.00,159.00,126.00,82.00,241.00,48.00,35.00,87.00,189.00,95.00,84.00,30.00,40.00,60.00,145.00,39.00,63.00,129.00,85.00,11.00,21.00,11.00,28.00,
