User_code,Size_fit,Expert_evaluation,Stature,7CV_height,Mid_neck,Neck,Head,Shoulder_width,Shoulder_length,Armpits_width,Bust_width,Neck_waist,Bust_neck,Bust,Back_width,Neck_armpits,Neck_waist,Crotch,Front_crotch,Rear_crotch,Waist,Buttock,Hip,Belly,Arm_7CV,Arm_length,Upper_arm_length,Upper_arm_girth,Wrist,Gender,Size_evaluated,Int_size_expert,Size_expert
EKID_012,0,8,-80,-46,30,3,-26,11,9.5,18,12,2,-6,8,25,29,-17,-68,-32,-36,28,33,20,20,25,17.5,22.5,-17.5,2,V,Y04,NA,Y04
EKID_012,1,5,-20.5,5,38.5,7,-20.5,24,13.5,17.5,17.5,17,2.5,30,29.5,28.5,-0.5,-54.5,-26,-34,37.5,57.5,53,32.5,46,33.5,29.5,5.5,5,V,Y05,NA,Y04
EKID_014,-1,6,123.5,101,-4.5,-9,-13.5,22,13,24.5,0.5,61,13.5,-21,0.5,32.5,28.5,-43.5,-18,-31,-24.5,31.5,24,-49.5,84,69.5,53,-24,0,M,Y05,Y05/Y06,Intermediate size
EKID_014,1,3,183,152,4,-5,-8,35,17,24,6,76,22,1,5,32,45,-30,-12,-29,-15,56,57,-37,105,85.5,60,-1,3,M,Y06,Y05/Y06,Intermediate size
EKID_015,0,8,56,54,2,-12,-41,25,13.5,5,-14,32,-8.5,-42,-13,51,30,2,-8,10,-23,-1,-14,-5,37.5,26.5,34.5,-25,-5,V,Y08,NA,Y08
EKID_015,1,5,175,161,26,16,-28,50,16.5,34,-9.5,63.5,9.5,9.5,25.5,56.5,56,39.5,13,28.5,18.5,49.5,38,29,99,77,49,-23.5,3.5,V,Y10,NA,Y08
EKID_016,-1,7,130,123,-14,-49,-37,12,23,-39,-40,53,-5,-78,-17,48,26,-20,7,-24,-123,12,2,-161,55.5,47.5,13,-50.5,-11.5,M,Y12,NA,At least a bigger one
EKID_018,0,9,-40,-60,15,-15,-17,23,1,-6,-2,13,-5.5,-13,-13,19,-50,-89,-37,-63,14,2,5,0,8.5,1.5,5,14,8.5,V,Y06,NA,Y06
EKID_018,1,4,57,46,20,-6,-10,31,11,19,5,30,-2.5,21,-15,29,-26,-14,-2,-12,40,48,52,43,32.5,20.5,21,19,12.5,V,Y08,NA,Y06
EKID_019,0,9,-58,-58,14,-9,-56,-3,0.5,-12,-3,10,-19.5,-40,-40,-9,-22,-66,-23,-53,1,-3,-5,-4,-2.5,1,13.5,11.5,7,M,Y06,NA,Y06
EKID_019,1,4,39,48,19,0,-49,5,10.5,13,4,27,-16.5,-6,-42,1,2,9,12,-2,27,43,42,39,21.5,20,29.5,16.5,11,M,Y08,NA,Y06
EKID_020,0,9,52,39,27,-2,-3,19,7.5,15,-19,46,3.5,-69,-14,6,29,-53,-15,-34,-110,-34,-47,-141,28,16,3.5,-57.5,9.5,V,Y12,NA,Y12
EKID_024,1,6,-336,-290,-26,-73.5,-118.5,-43,-18,-42.5,-7,-59,-33.5,-83,-36,-29,-87,-185.5,-85.5,-100,-74.5,-130,-171,-92,-114.5,-89,-46,-40,-13.5,M,Y03,NA,At least a smaller one
EKID_025,0,7,78,79.5,10,-6.5,-48,-12.5,-5.5,-18.5,-21,52.5,-7.5,-38,-3,0,44.5,-45.5,-13.5,-30.5,-71,12.5,21.5,-73.5,34,40.5,13.5,-14.5,3.5,M,Y10,NA,Y10
EKID_025,1,4,203,192,20,6,-42,4,-4,1,-21,86,17.5,7,14,8,67,11,20,-6,-56,68,78,-69,84,84,24.5,-12,12.5,M,Y12,NA,Y10
EKID_026,0,9,-62.5,-60.5,25.5,-14,1,23,5,24,12.5,5.5,-1.5,-10,7.5,23,-32.5,-90,-44.5,-61.5,6,-9,-44.5,4,29.5,14.5,25,-36.5,-9.5,M,Y03,NA,Y03
EKID_026,1,7,6,-2,32,-1,3,30,9.5,35,17,21,0,10,15,28,-21,-71,-27,-44,21,19,-3,16,66,45.5,37.5,-39.5,-6,M,Y04,NA,Y03
EKID_028,0,9,-56,-54,6,-8,-28,-6,1,-29,-31.5,16.5,-22.5,-130.5,-50.5,12.5,-4,-107.5,-52,-53.5,-104.5,-61.5,-73,-126,-14,-14,-5,-56,3,V,Y10,NA,Y10
EKID_028,1,6,63,53,30,20,-15,19,4,0,-27,48,-4.5,-79,-12,18,22,-70,-31,-35,-63,-11,-21,-92,47.5,36.5,9.5,-54.5,11.5,V,Y12,NA,Y10
EKID_029,-1,4,-144,-125,21,-13,-23,14,5.5,-27,-13.5,17.5,-23.5,-65.5,-27.5,10.5,-1,-67.5,-16,-49.5,-20.5,-24.5,-43,-44,-43,-53,-31,-44,-4,V,Y10,NA,Y12
EKID_029,0,8,-25,-18,45,15,-10,39,8.5,2,-9,49,-5.5,-14,11,16,25,-30,5,-31,21,26,9,-10,18.5,-2.5,-16.5,-42.5,4.5,V,Y12,NA,Y12
EKID_031,-1,4,22,29,8,-5,-31,-4,2,-47,-49.5,41.5,-16.5,-116.5,-3.5,26.5,42,-102.5,-50,-50.5,-124.5,-52.5,-60,-139,16,14.5,5,-41,-4.5,V,Y10,NA,Y12
EKID_031,0,8,141,136,32,23,-18,21,5,-18,-45,73,1.5,-65,35,32,68,-65,-29,-32,-83,-2,-8,-105,77.5,65,19.5,-39.5,4,V,Y12,NA,Y12
EKID_032,0,9,-131,-128,8,-6,-44,37,16.5,2,0,29,-0.5,-6,-24,13,-12,-93,-31,-73,9,24,14,-9,-8.5,-28,-8.5,16.5,6,M,Y06,NA,Y06
EKID_032,1,5,-34,-22,13,3,-37,45,26.5,27,7,46,2.5,28,-26,23,12,-18,4,-22,35,70,61,34,15.5,-9,7.5,21.5,10,M,Y08,NA,Y06
EKID_033,0,9,-65,-50,40,11,-27,-14,-5,40,4.5,29.5,-8,28.5,-11.5,-2.5,12,15.5,-12,24.5,37.5,45.5,43,19,-4,-0.5,-6.5,17,13.5,V,Y10,NA,Y10
