Age ,"Sex (M ,F)",City,R/ L Handed,W (kg),Stature (cm),Sitting height (mm) ,Back of head height (mm),"Ear height, sitting (mm)","Eye height, sitting (mm)",Height of prominent neck vertebra (mm),"Shoulder height, sitting (mm)",Chest depth (mm),Lower abdominal depth (mm),"Waist height ,sitting (mm)","Hip breadth, sitting (mm)","Underside of elbow height to seat, sitting (mm)",Back of elbow to wrist crease (mm),Shoulder breadth (mm),Index finger height (mm),Middle finger height (mm),Hand breadth (mm),Circumference of hand (mm),Circumference of wrist (mm)
0.5,M,Amman,-,8.00,69.00,365.00,304.20,248.50,257.00,200.00,170.00,58.00,75.00,120.00,198.00,117.00,118.00,268.00,72.00,75.00,50.00,37.00,32.00
0.5,M,Amman,-,7.20,68.00,366.00,302.00,245.00,255.00,200.00,171.00,58.00,76.00,121.00,200.00,116.00,118.00,268.00,73.00,73.00,50.00,37.00,32.00
0.5,M,Amman,-,7.50,68.00,365.00,304.00,244.00,257.00,201.00,170.00,59.00,75.00,119.00,200.00,117.00,117.00,269.00,72.00,74.00,48.00,36.00,29.00
0.5,M,Amman,-,8.00,69.00,367.00,305.00,245.00,254.00,200.00,169.00,58.00,72.00,121.00,199.00,117.00,119.00,268.00,69.00,75.00,50.00,36.00,31.00
0.5,M,Amman,-,7.60,69.00,368.00,302.00,248.00,254.00,202.00,169.00,60.00,73.00,121.00,200.00,116.00,118.00,268.00,71.00,75.00,51.00,37.00,31.00
0.5,F,Amman,-,6.70,65.00,345.00,284.20,228.50,237.70,199.00,169.00,56.00,70.00,115.00,200.00,115.00,117.00,263.00,69.00,70.00,49.00,35.00,29.00
0.5,F,Amman,-,7.00,60.00,343.00,288.00,230.00,237.00,198.00,167.00,55.00,71.00,117.00,199.00,114.00,116.00,265.00,68.00,72.00,49.00,36.00,30.00
0.5,F,Amman,-,7.20,62.00,344.00,290.00,231.00,236.00,200.00,167.00,56.00,70.00,118.00,197.00,113.00,116.00,260.00,68.00,71.00,48.00,37.00,31.00
0.5,F,Amman,-,7.00,63.00,350.00,288.00,232.00,240.00,198.00,168.00,55.00,70.00,114.00,199.00,114.00,117.00,263.00,70.00,72.00,49.00,36.00,30.00
0.5,F,Amman,-,6.60,62.00,351.00,290.00,228.00,245.00,199.00,170.00,56.00,72.00,115.00,200.00,114.00,117.00,262.00,71.00,72.00,50.00,35.00,30.00
0.583333333,M,Amman,-,10.00,70.00,381.00,319.50,264.00,274.00,226.00,197.00,75.00,75.00,131.00,222.00,117.00,131.00,281.00,77.00,80.00,57.00,38.00,35.00
0.583333333,M,Amman,-,9.50,72.00,380.00,320.00,264.00,276.00,225.00,196.00,70.00,76.00,130.00,221.00,119.00,131.00,277.00,75.00,81.00,57.00,37.00,35.00
